"","gamma","muB","muE","muI","rho"
"89",38.97,92.15,87.43,39.56,69.28
"90",20.65,46.775,86.575,60,30.61
"91",46.64,5.53,30.495,70.245,69.805
"92",53.735,11.95,83.6,87.79,95.155
"93",40.96,31.2,88.895,72.145,98.8
"94",34.18,3.84,85.67,89.185,60.875
"95",97.985,61.05,91.09,55.44,0.8
"96",73.635,74.02,45.56,10.055,45.755
"97",19.565,5,35.225,87,67.105
"98",66.805,81.045,14,48.165,41.51
"99",14.445,37.225,87.625,20.485,57.015
"100",36.215,84.24,56,65.86,37.27
"101",98.815,61.74,20.885,18.185,64
"102",29.825,45.085,26.005,32.395,24.555
"103",88.065,39.345,16.9,30.96,97.525
"104",72.655,11.115,8.605,35.915,99.025
"105",50.455,57.025,89.84,93.345,53.88
"106",95.325,35.285,28.44,55.325,21.045
"107",70.055,99.34,62.59,94.165,94.04
"108",99.17,49.97,81.365,24.435,90.98
"109",52.31,3.08,94.93,44.155,27.97
"110",39.78,63.965,90.755,9.165,65.18
"111",40.305,62.49,20.74,65.005,67.8
"112",65.545,89.985,30.06,79.705,51.21
"113",92.84,60.97,98.83,10.41,15.955
"114",79.43,83.28,36.54,7.44,11.775
"115",50.605,63.045,3.57,42.02,28.835
"116",18.865,29.365,56.72,14.045,48.495
"117",71.725,10.335,52.34,75.32,6.67
"118",42.895,51.21,46.42,43.695,58.66
"119",42.62,28.07,74.68,9.41,79.955
"120",86.985,15.195,37.365,30.21,32.755
"121",3.66,72.86,92.8,90.015,75.805
"122",37.305,50.855,89.655,38.275,63.515
"123",72.985,38.995,63.83,16.71,62.4
"124",48.77,30.93,7.81,31,2.035
"125",62,66.98,77.095,43.395,11.89
"126",51.215,73.595,41.65,69.085,9.695
"127",62.045,25.735,36.625,28.52,97.785
"128",87.97,69.85,97.855,88.15,69.535
"129",5.91,85.685,51.76,9.825,49.21
"130",98.23,58.9,93.34,15.985,49.13
"131",58.875,93.825,82.275,1.58,57.795
"132",35.325,49.055,17.005,46.035,87
"133",49.86,98.66,33.84,4.37,77
"134",45.77,66.325,86.07,21.45,38.7
"135",62.325,26.575,14.945,97.585,14
"136",36.625,34.51,14.35,93.7,47.315
"137",98.15,52.64,68.4,26.89,17.725
"138",78.16,38.46,7.32,37.105,24.69
"139",36.01,26.675,50.235,11.39,23.955
"140",94.945,30.765,74.05,32.57,34.85
"141",79.935,81.795,82.905,60.85,31.84
"142",34.395,9.625,4.225,33.6,71.025
"143",8.12,67.59,27.68,17.62,10.26
"144",48.49,60.025,75.28,0.88,44.18
"145",78.66,14.89,79.765,78.295,96.815
"146",64.585,77.275,56.86,14.69,44.36
"147",93.805,19.465,97.765,53.17,16.505
"148",30.865,50.17,24.055,99.54,56.13
"149",53.94,42.19,40.49,38.165,34.505
"150",37.715,44.69,85.46,15.075,67.905
"151",49.51,92.485,44.6,26.5,50.715
"152",87.66,23.8,25.915,12.49,17.08
"153",73.835,16.015,29.395,21.195,4.3
"154",54.035,10.795,14.79,83.54,65.66
"155",61.51,78.33,60.445,73.835,2.61
"156",43.2,58.735,58.825,91.355,25.6
"157",20.245,88.295,57.995,45.47,70.61
"158",84.395,4.795,90.855,98.115,99.835
"159",67.03,46.15,93.41,69.79,31.38
"160",99.815,43.24,23.795,93.95,36.18
"161",31.82,58.455,62.81,5.56,7.96
"162",91.265,95.295,48.155,74.655,52.925
"163",68.375,5.36,86.345,29.61,22.145
"164",91.79,21.12,46.065,16.435,84.9
"165",24.185,52.265,60.385,88.455,50.27
"166",35.515,91.705,34.935,68.875,39.6
"167",90.815,72.4,1.125,29.54,19.695
"168",47.83,6.755,74.495,53.38,52.745
"169",51.78,24.325,80.805,8.795,97.205
"170",71.165,30.28,32.91,4.6,59.715
"171",63.255,62.01,6.81,51.575,68.22
"172",85.495,75.25,84.32,91.795,35.76
"173",26.035,46.555,15.81,60.22,77.325
"174",0.035,23.085,54.29,14.875,36.45
"175",63.74,95.545,65.385,76.96,18.48
"176",72.185,68.76,15.16,96.645,52.4
"177",95.845,33.9,34.075,40.29,22.435
"178",17.365,54.795,98.38,80.59,57.93
"179",50.17,89.6,41.895,26.72,89.605
"180",90.2,47.45,57.315,43.82,35.08
"181",56.545,92.875,18.11,99.665,11.585
"182",12.105,83.605,67.83,92.58,73.405
"183",90.49,11.275,55.095,17.315,34.215
"184",59.225,34.315,4.135,72.8,70.23
"185",63.505,2.31,60.645,74.12,21.44
"186",21.845,69.765,39.205,88.685,3.43
"187",63.915,48.81,34.41,77.995,47.145
"188",20.975,22.715,87.205,72.835,16.85
"189",4.78,12.035,91.995,54.41,70.915
"190",10.11,69.39,27,34.655,98.52
"191",98.4,12.895,19.175,37.555,40.08
"192",39.945,40.28,33.005,69.855,26.18
"193",51.065,38.335,84.535,67.325,62.02
"194",9.775,22.2,97.04,84.27,3.73
"195",28.95,1.335,10.07,52.89,15.15
"196",82.955,61.94,0.84,89.75,75.595
"197",8.55,77,77.59,96.155,89.905
"198",27.55,65.24,31.15,19.95,48.775
"199",71.585,9.86,1.455,36.57,55.57
"200",87.115,35.055,13.495,57.59,40.525
"201",26.45,80.25,51.53,33.57,84.39
"202",60.725,95.835,70.775,47.935,43.81
"203",5.77,27.235,62.23,52.44,9.26
"204",26.895,40.6,48.34,86.715,57.56
"205",84.415,31.42,74.805,97.685,13.78
"206",31.755,17.385,35.67,22.375,9.585
"207",50.92,82.795,17.555,53.725,23.4
"208",80.715,13.8,84.735,41.91,65.985
"209",84.16,18.4,88.14,79.515,39.79
"210",10.295,66.49,17.65,37.91,72.195
"211",15.795,85.035,70.255,68.735,31.145
"212",3.825,3.235,91.25,52.75,15.58
"213",34.455,12.245,63.31,80.095,15.285
"214",87.55,29.12,85.825,41.185,73.3
"215",21.58,38.75,35.99,97.32,5.53
"216",27.08,31.245,5.665,27.44,64.545
"217",4.11,93.2,36.82,2.97,16.71
"218",14.67,93.8,37.555,13.745,60.445
"219",48.225,83.105,66.525,90.595,83.835
"220",73.545,13.29,15.575,46.53,52.52
"221",13.6,62.885,97.21,81.245,58.44
"222",17.07,52.955,58.2,36.03,56.565
"223",11.965,35.405,83.25,65.64,10.675
"224",76.65,9.49,75.01,85.185,32.025
"225",24.745,82.125,53.19,36.735,13.32
"226",33.72,73.935,61.355,12.665,56.21
"227",72.22,56.065,93.095,82.975,8.865
"228",3.415,74.605,78.62,54.785,43.335
"229",43.905,97.43,98.44,78.485,25.32
"230",53.52,25.075,21.065,64.65,20.555
"231",27.735,41.86,26.475,50.16,20.035
"232",16.97,98.525,91.615,58.44,63.715
"233",52.07,94.73,54.045,67.77,54.175
"234",0.83,10.155,87.14,81.795,61.25
"235",46.415,33.085,55.285,1.22,88.745
"236",64.925,19.1,98.01,70.725,84.65
"237",17.42,13.745,59.915,89.44,4.705
"238",60.265,78.69,57.12,26.015,72.835
"239",16.14,79.44,47.13,56.39,86.37
"240",8.95,31.85,71.615,47.64,89.565
"241",25.425,75.925,28.045,57.23,49.815
"242",29.305,90.355,64.95,79.05,29.65
"243",12.635,1.715,10.515,38.665,27.675
"244",56.89,76.49,24.235,8.805,39.235
"245",41.165,80.87,35.43,89,33.36
"246",23.855,24.565,67.31,64.53,41.235
"247",32.935,15.33,73.895,88.375,42.365
"248",58.03,17,51,6.91,67.325
"249",15.055,68.995,40.21,80.905,3.86
"250",36.4,72.51,81.985,30.76,88.48
"251",7.49,40.875,2.71,68.33,4.11
"252",44.43,54,12.735,23.045,66.025
"253",28.145,36.78,31.385,50.4,90.745
"254",55.35,78.415,61.085,26.25,20.675
"255",0.355,30.135,62.02,16.06,83.19
"256",94.755,91.87,44.61,62.59,37.96
"257",1.6,55.54,47.25,57.695,28.09
"258",79.225,26.335,11.95,63.795,76.035
"259",88.68,87.29,20,79.865,22.985
"260",69.88,81.935,80.53,46.91,85.2
"261",22.435,7.565,21.31,21.93,29.59
"262",58.56,87.155,95.92,13.275,26.41
"263",10.725,17.7,37.615,91.895,8.03
"264",57.185,12.445,11.17,37.275,37.63
"265",6.36,71.095,51.085,37.66,10.135
"266",27.83,12.785,65.1,67.87,13.04
"267",68.925,64.655,42.04,64.025,14.82
"268",57.655,32.29,21.695,6.535,1.255
"269",31.045,49.425,12.305,81.43,58.365
"270",54.535,97.055,19.685,70.115,78.435
"271",38.145,14.39,79.88,66.45,77.68
"272",16.37,88.955,8.965,45.235,54.265
"273",9.055,63.555,48.425,90.955,18.895
"274",32.605,86.395,9.545,25.12,19.04
"275",91.89,63.37,25.54,9.745,70.495
"276",18.14,84.84,94.42,30.435,48.965
"277",11.585,50.6,70.18,2.245,54.415
"278",64.155,44.385,1.385,34.535,66.425
"279",13.29,70.135,59.12,23.395,88.93
"280",54.895,13.12,71.355,69.57,23.2
"281",3.355,22.565,95.215,84.425,42.095
"282",78.895,74.8,64.635,89.93,91.22
"283",41.845,90.715,44.855,59.88,19.525
"284",46.075,37.88,18.77,25.98,24.88
"285",86.05,91.05,78.475,46.22,71.945
"286",95.45,57.205,52.75,42.965,66.9
"287",86.335,36.29,1.655,5.215,26.38
"288",33.995,18.885,77.83,82.33,2.8
"289",43.545,60.345,90.235,98.935,69.66
"290",87.255,73.735,3,58.165,16.26
"291",12.58,47.705,84.095,66.155,95.915
"292",54.24,70.21,80.375,1.06,96.645
"293",45.38,4.015,93.9,28.26,35.405
"294",61.135,72.035,13.785,7.655,24.085
"295",88.58,17.46,69.015,7.97,21.31
"296",55.915,87.565,5.915,56.645,77.815
"297",55.175,6.805,45.99,35.78,37.13
"298",64.7,54.995,25.3,51.895,36.605
"299",94.56,57.515,30.955,42.615,15.79
"300",81.08,20.055,5.215,78.885,8.335
"301",45.41,23.225,95.7,17.44,36.935
"302",22.31,28.93,59.335,77.24,72.705
"303",82.035,94.07,61.825,70.93,71.33
"304",6.645,2.165,41.115,27.7,32.95
"305",15.81,5.945,64.58,33.3,43.085
"306",93.165,24.745,11.595,78.105,16.14
"307",11.09,88.75,8.56,1.69,73.72
"308",82.24,41.085,73,14.55,14.54
"309",59.665,79.87,34.64,8.4,12.615
"310",19.195,16.68,81.505,85.225,93.26
"311",49.685,96.165,63.485,25.505,77.47
"312",61.77,56.655,80.045,31.325,25.415
"313",48.87,27.05,53.695,63.365,0.97
"314",9.865,95.795,79.595,41.56,45.385
"315",76.955,33.58,7.185,58.895,8.595
"316",42.23,44.95,57.785,8.155,90.055
"317",70.715,21.98,99.655,15.465,60.75
"318",12.33,56.405,76.535,36.22,25.97
"319",55.575,33.365,38.08,38.47,44.6
"320",38.58,36.6,27.53,53.425,80.45
"321",6.055,93.045,18.94,6.71,17.935
"322",57.825,40.12,48.87,45.615,76.675
"323",65.3,60.58,91.46,99.97,78.035
"324",42.16,79.27,38.835,2.425,80.875
"325",47.605,20.92,90.49,39.38,27.53
"326",52.875,56.86,76.35,90.78,91.675
"327",80.015,51.64,88.275,3.975,38.59
"328",38.33,42.83,51.345,90.27,98.71
"329",76.21,96.68,58.515,61.005,90.21
"330",85,66.125,99.275,72.22,25.19
"331",92.375,97.925,13.905,84.025,7.595
"332",8.715,63.625,64.125,49.4,60.165
"333",46.96,32,68.84,43.185,28.585
"334",44.21,92.645,75.66,55.13,28.655
"335",90.275,76.885,22.1,75.89,7.745
"336",2.355,69.425,2.28,27.055,53.4
"337",7.25,57.8,32.355,25.38,85.36
"338",93.31,42.79,82.53,42.295,18.26
"339",31.3,35.895,92.7,56.965,77.14
"340",98.64,52.15,65.995,13.4,41.04
"341",1.235,64.305,71.19,79.35,4.94
"342",2.68,6.3,15.3,32.95,93.43
"343",74.34,75.585,87.93,10.81,38.025
"344",81.905,50.615,10.95,68.175,44.93
"345",11.67,35.605,40.15,33.085,17.4
"346",59.57,62.225,85.22,12.995,26.795
"347",3.09,89.565,69.295,87.24,91.155
"348",77.095,99.94,16.055,75.6,14.395
"349",97.1,25.9,96.115,50.775,90.42
"350",4.885,7.79,92.315,71.725,40.33
"351",60.45,28.51,51.855,24.33,67.535
"352",70.52,37,5.43,94.995,91.82
"353",82.555,80.53,46.72,31.8,50.465
"354",93.565,13.4,65.8,57.92,80.265
"355",24.535,44.16,33.525,86.495,34.18
"356",29.62,24.055,3.9,56.43,61.895
"357",61.29,99.505,70.535,20.755,7.2
"358",58.345,50.34,69.765,62.685,54.86
"359",56.065,43.72,7.485,93.165,22.26
"360",78.37,90.13,89.565,81.155,62.215
"361",32.51,1.44,72.87,28.085,5.88
"362",88.31,80.2,70.985,96.93,30.95
"363",44.74,58.265,9.29,21.66,96.015
"364",33.495,93.45,0.725,48.505,65.545
"365",47.015,0.09,73.42,2.615,74.06
"366",23.325,20.42,79.035,15.8,79.32
"367",44.145,52.555,59.5,45.155,51.64
"368",89.955,2.675,99.065,98.77,81.62
"369",85.975,18.055,22.72,85.845,0.2
"370",83.755,38.06,94.33,0.5,23.15
"371",2.89,34.845,49.56,31.775,46.34
"372",43.695,10.58,26.72,66.95,80.785
"373",35.755,85.285,95.425,57.065,32.56
"374",34.79,25.47,75.59,44.635,64.715
"375",97.205,88.14,72.76,8.365,45.485
"376",17.905,32.51,47.825,51.4,70.07
"377",6.925,39.46,53.355,5.085,62.95
"378",39.23,18.31,74.27,7.03,56.86
"379",85.085,37.465,15.615,95.045,43.68
"380",89.06,58.095,75.955,7.34,43.49
"381",75.885,84.78,98.715,92.945,45.085
"382",88.84,45.34,6.5,20.385,18.68
"383",38,4.435,44.205,81.825,14.735
"384",26.695,86.135,43.45,87.465,92.925
"385",74.135,51.91,49.3,48.395,94.985
"386",78.485,2.995,63.655,77.695,7.08
"387",41.425,9.2,81.06,64.91,89.34
"388",89.4,45.6,57.495,18.79,56.645
"389",68.42,55.605,12.465,3.215,57.37
"390",83.565,77.855,90.17,60.77,82.6
"391",32.175,88.455,32.19,28.875,6.885
"392",33.29,54.44,4.525,12.13,83.315
"393",71.375,16.585,84.86,35.26,61.095
"394",45.925,94.265,4.63,49.59,72.3
"395",52.605,51.46,9.17,16.88,35.995
"396",13.855,59.915,13.23,68.575,74.57
"397",55.705,86.935,83.985,63.085,85.99
"398",23.515,14.705,28.215,96.4,44.7
"399",96.62,67.23,55.665,76.615,99.345
"400",15.385,5.705,22.95,80.325,48.38
"401",74.495,11.77,54.71,46.79,95.345
"402",74.995,21.775,31.75,64.215,66.335
"403",40.445,45.645,68.54,53.8,46.165
"404",29.52,20.345,23.185,6.245,14.16
"405",26.29,46.39,52.835,98.235,47.74
"406",90.675,85.6,13,50.85,81.53
"407",19.67,15.5,47.715,27.91,22.645
"408",67.74,79.605,64.295,34.205,6.1
"409",85.8,82.945,89.365,10.38,93.65
"410",39.09,39.78,56.26,61.4,6.4
"411",99.71,19.68,96.545,56.015,20.955
"412",39.565,31.65,12.135,54.91,28.285
"413",81.36,23.845,67.61,99.155,3.05
"414",47.37,3.515,94.03,20.06,0.215
"415",75.44,4.325,17.84,91.15,75.08
"416",43.28,43.845,69.55,51.005,63.195
"417",96.53,70.635,0.43,10.69,29.92
"418",41.375,87.685,20.545,3.55,65.26
"419",30.8,48.43,2.11,11.095,51.475
"420",22.75,98.225,50.14,70.445,93.805
"421",48.135,96.6,16.7,25.645,84.46
"422",65.075,74.295,45.23,22.7,41.605
"423",75.305,16.875,99.55,59.46,11.085
"424",44.855,81.285,32.5,32.135,54.765
"425",27.35,61.565,93.67,3.655,38.85
"426",14.265,94.825,83.125,73.575,27.3
"427",29.15,9,13.165,73.36,12.17
"428",81.465,95.13,31.445,67.415,63.305
"429",73.005,34.115,2.435,98.475,8.7
"430",72.445,27.84,44.03,30.175,55.13
"431",77.84,54.355,60.125,84.645,1.455
"432",82.685,20.7,54.52,85.665,59.315
"433",63.12,75.155,23.33,13.095,50.895
"434",80.24,98.145,49.905,76.165,46.6
"435",31.58,47.92,1.945,61.825,2.34
"436",5.135,78.875,73.32,17.005,92.3
"437",22.02,99.6,28.815,94.61,82.565
"438",57.485,71.405,39.69,66.22,23.63
"439",83.365,3.75,78.2,48.77,84.08
"440",83.965,53.045,11.31,76.27,12.3
"441",76.1,78.115,29.645,23.65,33.905
"442",69.675,48.315,63.08,21.26,29.185
"443",35.94,91.58,36.305,44.44,33.45
"444",93.705,37.78,34.265,82.505,29.395
"445",38.605,92.355,29.04,71.235,92.525
"446",91.525,41.34,42.25,55.98,58.81
"447",15.57,39.065,79.385,66.71,89.025
"448",25.805,91.37,50.475,11.865,26.955
"449",5.375,71.78,39.59,47.12,5.105
"450",86.485,42.55,67.545,75.04,17.265
"451",28.735,65.155,38.255,42.44,46.99
"452",59.12,90.575,18.395,33.845,98.2
"453",42.51,64.02,0.07,91.4,34.69
"454",7.9,8.325,10.365,44.84,5.78
"455",33.05,53.27,56.475,67.19,59.955
"456",2.085,25.32,96.26,58.245,11.265
"457",83.145,69.1,72.255,93.485,55.69
"458",10.81,62.685,67.095,63.505,35.22
"459",10.555,71.95,39.92,18.365,12.575
"460",25.615,26.16,50.76,74.55,41.9
"461",80.84,21.375,86.765,65.315,75.36
"462",86.73,0.435,68.64,11.63,40.745
"463",67.365,39.89,76.8,49.16,82.215
"464",94.035,30.495,21.835,14.36,99.54
"465",21.71,66.745,96.645,83.92,49.645
"466",76.51,96.35,82.72,61.385,12.915
"467",95.76,77.525,10.785,3.14,94.215
"468",81.765,8.005,39.08,94.26,80.07
"469",66.245,96.91,43.81,82.115,1.775
"470",79.76,34.655,76.2,13.915,9.825
"471",1.81,81.5,66.62,24.06,42.6
"472",91.13,57.86,58.145,47.3,87.525
"473",32.3,17.85,22.45,95.82,79.6
"474",24.825,8.645,69.965,95.615,97.16
"475",70.955,68.505,19.91,86.13,71.76
"476",57.245,44.555,82.19,16.27,64.97
"477",7.78,28.22,38.405,55.685,60.295
"478",92.59,67.965,58.655,36.935,68.015
"479",49.31,80.8,88.68,99.325,86.77
"480",1.135,49.785,3.69,23.505,53.785
"481",40.13,86.755,14.55,72.445,92.76
"482",66.77,94.45,61.48,29.155,53.52
"483",59.965,0.815,22.37,28.735,86.405
"484",99.22,97.665,62.8,83.335,81.305
"485",62.91,48.76,66.94,32.67,86.065
"486",41.67,99.14,80.71,43.475,38.34
"487",73.225,98.85,43.015,0.385,71.475
"488",22.93,60.755,49.795,0.79,49.56
"489",1.755,70.49,11.63,83.13,83.745
"490",20.455,33.645,19.385,5.72,93.065
"491",28.295,8.49,54.85,92.605,45.915
"492",19.275,32.745,46.38,0.2,63.825
"493",96.225,4.955,52.465,54.05,64.315
"494",66.08,16.335,71.925,29.91,31.49
"495",92.155,8.82,6.4,5.995,13.475
"496",37.45,55.015,32.785,11.53,2.585
"497",4.555,47.38,77.79,22.155,37.595
"498",77.295,1.11,96.985,50.545,47.995
"499",51.945,76.19,89.08,18,86.825
"500",45.11,51.12,40.695,40.695,87.2
